0,0,175231,-179572,1995
0,1,175677,-179641,1995
0,1,175618,-179482,1995
0,2,175618,-179482,1995
1,0,175618,-179482,1995
1,1,175760,-179693,1995
1,1,176015,-179841,1995
1,1,176057,-179949,1995
1,1,176108,-180013,2016
1,1,176093,-179991,2016
1,1,176077,-179967,2016
1,1,176061,-179944,2016
1,1,176049,-179926,2016
1,1,176054,-179934,2016
1,2,176054,-179934,2016
2,0,176139,-179132,1995
2,1,176144,-178951,2016
2,1,176284,-179011,2016
2,1,176333,-179081,2016
2,1,176469,-179191,2016
2,1,176473,-179265,2016
2,1,176223,-179081,2016
2,1,176568,-179384,1995
2,1,176604,-179526,1995
2,1,176598,-179462,2016
2,2,176598,-179462,2016
3,0,176598,-179462,2016
3,1,176569,-179461,2016
3,1,177186,-179715,1995
3,1,177259,-179722,1995
3,1,176946,-179706,1995
3,1,177297,-179737,1995
3,2,177297,-179737,1995
4,0,177297,-179737,1995
4,1,177487,-179494,1995
4,1,177737,-179419,1995
4,1,177798,-179282,1995
4,2,177798,-179282,1995
5,0,177798,-179282,1995
5,1,177309,-179288,1995
5,1,177127,-179179,1995
5,2,177127,-179179,1995
6,0,177127,-179179,1995
6,1,176459,-179132,1995
6,1,176366,-179009,1995
6,1,176259,-178957,1995
6,1,176279,-178894,1995
6,2,176279,-178894,1995
7,0,176279,-178894,1995
7,1,175929,-179314,1995
7,1,175815,-179406,1995
7,2,175815,-179406,1995
8,0,175815,-179406,1995
8,1,175558,-179483,1995
8,1,175342,-179495,1995
8,2,175342,-179495,1995
9,0,176562,-179232,1995
9,1,176741,-179028,1995
9,1,176850,-178817,1995
9,2,176850,-178817,1995
10,0,176850,-178817,1995
10,1,176939,-178641,1995
10,1,176919,-178471,1984
10,1,176850,-178020,1882
10,1,176855,-177167,1703
10,1,176942,-177072,1703
10,1,176909,-176953,1703
10,1,176980,-176585,1604
10,1,176925,-176234,1475
10,1,176846,-175729,1324
10,1,176916,-175536,1324
10,1,177048,-175527,1324
10,1,177109,-175546,1324
10,2,177109,-175546,1324
11,0,171983,-173420,3420
11,1,172230,-173541,3459
11,1,172741,-173838,3459
11,1,172856,-173902,3459
11,1,173287,-173903,3459
11,1,173738,-173912,3459
11,1,174177,-173825,3617
11,1,173890,-173538,3459
11,1,174213,-172866,3459
11,1,174393,-172880,3459
11,1,175814,-172831,3155
11,1,176190,-172999,3155
11,1,176227,-173154,3155
11,1,177133,-173930,3155
11,1,177121,-174467,3148
11,2,177121,-174467,3148
12,0,177121,-174467,3148
12,1,177167,-175294,2961
12,1,177181,-176032,2851
12,1,177109,-176141,2851
12,1,176626,-176290,2851
12,1,175850,-176179,2855
12,1,175670,-175755,2855
12,1,175753,-175569,2858
12,1,175601,-175400,2847
12,1,174491,-175421,2580
12,1,174419,-175766,2517
12,1,174297,-177048,2299
12,1,174174,-177474,2299
12,1,174139,-177641,2279
12,2,174139,-177641,2279
13,0,174139,-177641,2279
13,1,174185,-177493,2320
13,1,174216,-177477,2299
13,1,174258,-177391,2299
13,1,174258,-177391,2320
13,2,174258,-177391,2320
13,0,174258,-177391,2320
13,1,174229,-177359,2320
13,1,174182,-177521,2303
13,2,174182,-177521,2303
14,0,174094,-177354,2299
14,1,174155,-177502,2299
14,1,174035,-178091,2172
14,1,174190,-179235,1995
14,1,174615,-179580,1995
14,1,175030,-179577,1995
14,1,175064,-179564,1995
14,2,175064,-179564,1995
15,0,177224,-175123,1324
15,1,177459,-175512,1324
15,1,177616,-175999,1324
15,1,177583,-176143,1324
15,1,177692,-177019,1324
15,1,177787,-177123,1324
15,1,177797,-177497,1253
15,2,177797,-177497,1253
16,0,177797,-177497,1253
16,1,177841,-178410,1020
16,1,177698,-179213,1020
16,1,177497,-179277,1020
16,1,177129,-179313,1020
16,1,176902,-179377,1020
16,1,176618,-179399,1020
16,2,176618,-179399,1020
17,0,176618,-179399,1020
17,1,176300,-179355,1020
17,1,176215,-179330,1020
17,1,176006,-179046,1020
17,1,175610,-178741,1020
17,1,175252,-178883,1020
17,1,175350,-178822,1020
17,1,175413,-179075,1020
17,1,175455,-179326,1021
17,2,175455,-179326,1021
18,0,175455,-179326,1021
18,1,174986,-179503,1020
18,1,174895,-179644,1020
18,1,174455,-179727,1020
18,1,174136,-179667,1020
18,1,174067,-179641,1020
18,2,174067,-179641,1020
19,0,174067,-179641,1020
19,1,174302,-177109,986
19,1,174186,-178404,1020
19,1,174238,-178890,1020
19,1,174238,-178410,1020
19,1,174159,-178295,1020
19,1,174121,-177983,965
19,1,174100,-178017,1000
19,2,174100,-178017,1000
20,0,174143,-178036,1000
20,1,174177,-178026,1000
20,1,174171,-177190,767
20,1,174174,-176966,716
20,1,174125,-176745,716
20,1,174086,-176580,716
20,1,174151,-176588,716
20,1,174153,-176457,716
20,2,174153,-176457,716
21,0,174126,-176423,716
21,1,174363,-176308,716
21,1,174644,-176139,716
21,2,174644,-176139,716
22,0,174644,-176139,716
22,1,175253,-176082,642
22,1,176262,-175995,412
22,1,175836,-176096,500
22,1,176323,-176078,412
22,1,176482,-176127,412
22,2,176482,-176127,412
23,0,177157,-177204,368
23,1,177155,-177575,250
23,1,177152,-177896,172
23,1,177133,-178292,108
23,1,177141,-178690,108
23,1,177194,-178936,108
23,1,177139,-179017,108
23,1,177152,-179133,108
23,1,177077,-179413,108
23,1,177165,-179310,108
23,1,176947,-178988,228
23,1,177239,-179377,108
23,2,177239,-179377,108
24,0,177349,-179432,128
24,1,177299,-179407,128
24,1,177200,-179621,128
24,1,177079,-179620,108
24,1,176931,-179628,108
24,1,176765,-179682,108
24,1,176317,-179692,108
24,1,176614,-179711,108
24,2,176614,-179711,108
25,0,176614,-179711,108
25,1,176298,-179741,108
25,1,176190,-179724,108
25,1,176043,-179613,108
25,1,176074,-179652,108
25,1,176027,-179614,128
25,2,176027,-179614,128
26,0,176027,-179614,128
26,1,175755,-179870,0
26,1,175748,-179813,3
26,1,175719,-180057,-69
26,1,175799,-180730,-218
26,1,175840,-180849,-257
26,1,175710,-181902,-608
26,1,175651,-182251,-759
26,1,175682,-182235,-757
26,1,175705,-182207,-756
26,1,175709,-182375,-739
26,1,175708,-182360,-728
26,1,175554,-182288,-758
26,1,175564,-182247,-758
26,1,175526,-182157,-773
26,1,175493,-181905,-880
26,1,175410,-181718,-926
26,1,175429,-181580,-931
26,1,175295,-181559,-943
26,1,174766,-181552,-1088
26,1,174619,-181600,-1100
26,1,173889,-181557,-1083
26,1,173464,-181533,-972
26,1,173254,-181530,-952
26,1,173235,-181303,-951
26,1,173213,-180547,-1092
26,1,173318,-179838,-1225
26,1,173334,-179546,-1280
26,1,173332,-179406,-1301
26,2,173332,-179406,-1301
27,0,173332,-179406,-1301
27,1,173417,-179345,-1301
27,1,173497,-179328,-1301
27,1,173559,-179404,-1301
27,1,173672,-179663,-1378
27,1,173659,-180686,-1704
27,1,173628,-182472,-1926
27,1,173753,-181602,-1926
27,1,173688,-180874,-1763
27,1,173710,-181370,-1926
27,1,173572,-181380,-1926
27,1,173521,-181458,-1896
27,1,173547,-181405,-1926
27,1,173521,-181458,-1896
27,2,173521,-181458,-1896
28,0,173521,-181458,-1896
28,1,173508,-181426,-1896
28,1,173631,-181478,-1926
28,1,173671,-181571,-1926
28,1,173578,-181716,-1926
28,1,173685,-182496,-1926
28,1,173644,-182163,-1926
28,1,173611,-181956,-1896
28,1,173592,-182295,-1926
28,1,173631,-182279,-1896
28,2,173631,-182279,-1896
29,0,173631,-182279,-1896
29,1,173826,-182530,-1896
29,1,173576,-182405,-1926
29,1,173605,-182328,-1896
29,1,173609,-182340,-1896
29,2,173609,-182340,-1896
30,0,173609,-182340,-1896
30,1,173616,-182328,-1896
30,1,173633,-182237,-1896
30,1,173636,-182206,-1926
30,1,173651,-182346,-1926
30,1,173623,-182568,-1905
30,1,173641,-182330,-1896
30,1,173447,-182722,-1926
30,1,173576,-182764,-1926
30,1,173530,-183097,-1926
30,1,173524,-183320,-1926
30,1,173588,-183978,-1926
30,1,173641,-184625,-1926
30,1,174166,-185018,-1926
30,1,174631,-185073,-1926
30,1,175147,-184977,-1926
30,1,175606,-184954,-1926
30,1,175490,-184932,-1926
30,1,175208,-184942,-1926
30,2,175208,-184942,-1926
31,0,175208,-184942,-1926
31,1,175376,-185085,-1926
31,1,175353,-185004,-1926
31,1,175627,-185019,-1926
31,1,175459,-185035,-1926
31,1,175603,-185070,-1926
31,1,175722,-185049,-1926
31,1,175770,-185069,-1896
31,2,175770,-185069,-1896
32,0,178089,-184417,-1926
32,1,178049,-184231,-1926
32,1,178037,-184203,-1926
32,1,178074,-184087,-1926
32,1,178177,-183868,-1896
32,2,178177,-183868,-1896
33,0,178177,-183868,-1896
33,1,178207,-183853,-1896
33,1,178178,-183832,-1896
33,1,177806,-183542,-1926
33,1,177937,-183637,-1926
33,1,177863,-183669,-1896
33,1,177757,-183652,-1926
33,1,177772,-183630,-1896
33,2,177772,-183630,-1896
34,0,177772,-183630,-1896
34,1,177757,-183652,-1896
34,1,177770,-183596,-1896
34,1,177424,-183360,-1926
34,1,177466,-183276,-1926
34,1,177379,-183194,-1926
34,2,177379,-183194,-1926
35,0,177379,-183194,-1926
35,1,177725,-183055,-1926
35,1,177940,-183121,-1926
35,1,177995,-183174,-1896
35,2,177995,-183174,-1896
36,0,177995,-183174,-1896
36,1,177969,-183149,-1896
36,1,178575,-183304,-1926
36,1,178758,-183403,-1926
36,1,178530,-183365,-1926
36,1,178404,-183362,-1896
36,2,178404,-183362,-1896
37,0,178404,-183362,-1896
37,1,178402,-183323,-1896
37,1,178364,-182915,-1926
37,1,178359,-182807,-1926
37,1,178320,-182750,-1896
37,2,178320,-182750,-1896
